Library,BarCode,Category,Read
SLX-9169,D709_D506,Mapped,58279702
SLX-9169,D709_D507,Mapped,69465781
SLX-9169,D709_D508,Mapped,53328475
SLX-9169,D710_D501,Mapped,74223767
SLX-9169,D710_D502,Mapped,59046203
SLX-9169,D710_D503,Mapped,59066795
SLX-9169,D710_D504,Mapped,52265102
SLX-9169,D710_D505,Mapped,56839053
SLX-9169,D710_D506,Mapped,51885569
SLX-9169,D710_D507,Mapped,51115137
SLX-9169,D710_D508,Mapped,56949127
SLX-9169,D711_D501,Mapped,62635147
SLX-9169,D711_D502,Mapped,56066348
SLX-9169,D711_D503,Mapped,47415279
SLX-9169,D711_D504,Mapped,48730201
SLX-9169,D711_D505,Mapped,59516166
SLX-9169,D711_D506,Mapped,61544795
SLX-9169,D711_D507,Mapped,60823998
SLX-9169,D711_D508,Mapped,56197260
SLX-9169,D712_D501,Mapped,75184145
SLX-9169,D712_D502,Mapped,63467808
SLX-9169,D712_D503,Mapped,81136203
SLX-9169,D712_D504,Mapped,62895961
SLX-9169,D712_D505,Mapped,76558027
SLX-9169,D712_D506,Mapped,67716581
SLX-9169,D712_D507,Mapped,63432396
SLX-9169,D712_D508,Mapped,59439795
SLX-9169,D704_D501,Rescued,24589728
SLX-9169,D704_D502,Rescued,30750057
SLX-9169,D704_D503,Rescued,21196243
SLX-9169,D704_D504,Rescued,23329670
SLX-9169,D704_D505,Rescued,26136955
SLX-9169,D704_D506,Rescued,23684625
SLX-9169,D704_D507,Rescued,24628334
SLX-9169,D704_D508,Rescued,21997353
SLX-9169,D705_D501,Rescued,21290001
SLX-9169,D705_D502,Rescued,17255161
SLX-9169,D705_D503,Rescued,20014013
SLX-9169,D705_D504,Rescued,19142813
SLX-9169,D705_D505,Rescued,15988323
SLX-9169,D705_D506,Rescued,26051952
SLX-9169,D705_D507,Rescued,15732988
SLX-9169,D705_D508,Rescued,14726099
SLX-9169,D706_D501,Rescued,33684957
SLX-9169,D706_D502,Rescued,24292130
SLX-9169,D706_D503,Rescued,25020530
SLX-9169,D706_D504,Rescued,18513907
SLX-9169,D706_D505,Rescued,19727786
SLX-9169,D706_D506,Rescued,20981148
SLX-9169,D706_D507,Rescued,22120135
SLX-9169,D706_D508,Rescued,27638053
SLX-9169,D708_D501,Rescued,21027335
SLX-9169,D708_D502,Rescued,21147444
SLX-9169,D709_D501,Rescued,26938108
SLX-9169,D709_D502,Rescued,24601896
SLX-9169,D709_D503,Rescued,23030746
SLX-9169,D709_D504,Rescued,18939016
SLX-9169,D709_D505,Rescued,27591741
SLX-9169,D709_D506,Rescued,25961738
SLX-9169,D709_D507,Rescued,20087758
SLX-9169,D709_D508,Rescued,26678390
SLX-9169,D710_D501,Rescued,19217355
SLX-9169,D710_D502,Rescued,21946598
SLX-9169,D710_D503,Rescued,22492666
SLX-9169,D710_D504,Rescued,23439586
SLX-9169,D710_D505,Rescued,24827008
SLX-9169,D710_D506,Rescued,24725667
SLX-9169,D710_D507,Rescued,30424962
SLX-9169,D710_D508,Rescued,27608722
SLX-9169,D711_D501,Rescued,25033575
SLX-9169,D711_D502,Rescued,29611257
SLX-9169,D711_D503,Rescued,21554201
SLX-9169,D711_D504,Rescued,19331736
SLX-9169,D711_D505,Rescued,19497092
SLX-9169,D711_D506,Rescued,24279292
SLX-9169,D711_D507,Rescued,17122801
SLX-9169,D711_D508,Rescued,18320382
SLX-9169,D712_D501,Rescued,18689953
SLX-9169,D712_D502,Rescued,22028802
SLX-9169,D712_D503,Rescued,23392824
SLX-9169,D712_D504,Rescued,19678535
SLX-9169,D712_D505,Rescued,17467805
SLX-9169,D712_D506,Rescued,11560788
SLX-9169,D712_D507,Rescued,20203317
SLX-9169,D712_D508,Rescued,21575476
SLX-9169,D704_D501,Unmapped,8323350
SLX-9169,D704_D502,Unmapped,8188224
SLX-9169,D704_D503,Unmapped,7912611
SLX-9169,D704_D504,Unmapped,10373494
SLX-9169,D704_D505,Unmapped,8110333
SLX-9169,D704_D506,Unmapped,6875679
SLX-9169,D704_D507,Unmapped,7434239
SLX-9169,D704_D508,Unmapped,6357005
SLX-9169,D705_D501,Unmapped,9848592
SLX-9169,D705_D502,Unmapped,9057781
SLX-9169,D705_D503,Unmapped,7828336
SLX-9169,D705_D504,Unmapped,8116040
SLX-9169,D705_D505,Unmapped,4979875
SLX-9169,D705_D506,Unmapped,6419743
SLX-9169,D705_D507,Unmapped,7607824
SLX-9169,D705_D508,Unmapped,6653328
SLX-9169,D706_D501,Unmapped,10109780
SLX-9169,D706_D502,Unmapped,10689775
