"","TCONS_00323031","TCONS_00329506","TCONS_00330483","TCONS_00329507","TCONS_00330192","TCONS_00330356","TCONS_00339257","TCONS_00334938","TCONS_00336968","TCONS_00340588","TCONS_00340698","TCONS_00340767"
"1042846",33.34425,3.965953,0,0,0,0,0,0,0,0,0,0
"1084406",10.779848,0,1.098192,0,0,0,0,0,0,0,0,0
"1320075",1.431713,0,0,0,0,0,0,0,0,0,0,0
"1357727",1.514169,0,2.259228,0,0,0,0,0,0,0,0,0
"1393824",35.366146,0,0,0,0,6.839869,0,0,0,0,0,0
"1431545",3.921035,3.308609,1.779698,0,0,0,0,0,0,0,0,0
"1442950",1.286923,0,0,0,0,0,0,0,0,0,0,0
"1452610",24.116693,5.321908,9.741155,18.41275,0,0,2.834011,0,0,0,0,0
"1456901",34.8493,0,0,53.541317,36.427532,0,0,0,0,0,0,0
"1457582",7.994884,0,0,6.994496,0,0,0,0,0,0,0,0
"1459758",20.57781,0,0,0,0,0,0,0,0,0,0,0
"1489761",2.586896,4.815085,0,0,0,0,0,0,0,0,0,0
"1504659",3.277876,0,0,0,0,0,0,0,0,0,0,0
"1521951",4.864896,0,0,0,0,0,0,0,0,0,0,0
"1526417",1.367345,0,2.134032,0,0,2.00988,0,0,0,2.047771,0,0
"1532950",3.189313,0,0,0,0,0,0,0,0,0,0,0
"1591711",2.559413,0,0,0,0,0,0,0,0,0,0,0
"1595204",1.428704,0,0,0,0,0,0,0,0,0,0,0
"1615897",3.283986,0,0,0,0,0,0,0,0,0,0,0
"1650905",46.272629,0,0,0,0,0,0,0,0,0,0,0
"1664611",5.604574,0.903006,0,0,0,0,0,0,0,0,0,0
"1670438",18.508867,3.690553,0,0,0,0,0,0,0,0,0,0
"1684526",9.453172,0,0,0,2.356345,0,0,0,0,0,0,0
"1692949",6.908475,0,0.79936,0,0,0,0,0,0,0,0,0
"1705990",3.995019,0,0,0,0,0,0,0,0,0,0,0
"1707244",11.47367,0,0,0,0,0,0,0,0,0,0,0
"1717782",30.134975,0,0,0,0,3.699258,0,0,0,0,0,0
"1733805",29.24868,12.705856,3.274882,22.249081,0,0,0,0,0,0,0,0
"1735150",1.684678,0,1.519791,0,0,0,0,0,0,0,0,0
"1755117",1.280906,2.37627,0,0,0,0,0,0,0,0,0,0
"1760654",1.22471,1.567555,0,0,0,0,0,0,0,0,0,0
"1770416",3.51521,0,0,0,0,0,0,0,0,0,0,0
"1801869",1.403667,3.809062,0,0,0,0,0,0,0,0,0,0
"1804959",5.007018,0,0,0,0,0,0,0,0,0,0,0
"1827255",0.581144,1.469592,0,0,0,0,0,0,0,0,0,0
"1848406",9.474976,1.314914,0,0,0,0,0,0,0,0,0,0
"1849216",58.318264,0,0,0,0,0,0,0,0,0,0,0
"1849318",2.053598,0,0,0,0,0,0,0,0,0,0,0
"1851230",3.628975,0,0,0,0,0,0,0,0,0,0,0
"1856544",15.913846,0,0,0,1.663709,3.446859,0,0,0,0,0,0
"1858390",3.210075,0,0,0,0,0,0,0,0,0,0,0
"1858402",4.727879,0,0,5.264403,0,0,0,0,0,0,0,0
"1863364",3.703414,0,0,0,0,0,0,0,0,0,0,0
"1868469",0,0,0,0,0.861704,0,0,0,0,0,0,0
"1874940",2.506394,0,0,0,0,0,0,0,0,0,0,0
"1894406",0,0,0,0,0,0,0,0,0,0,0,1.472463
"1897186",2.035573,0,0,2.33032,0,3.958197,0,0,0,0,0,0
"1906499",0.061601,0,0,0,0,0,0,0,0,0,0,0
"1922429",9.069566,10.831153,0,0,0,0,2.131044,0,0,0,0,0
"1923122",2.015965,5.485682,0,0,0,0,0,0,0,0,0,0
"1925878",5.449726,0,0,0,0,0,0,0,0,0,0,0
"1927882",13.942964,1.470375,0,0,0,0,0,0,0,0,0,0
"1932675",9.06173,1.748026,0,0,0,0,0,0,0,0,0,0
"1940433",2.147149,0,0,0,0,0,0,0,0,0,0,0
"1950498",4.995821,2.03377,0,0,0,0,0,0,0,0,0,0
"1956378",0.734439,0,0,0,0,0,0,0,0,0,0,0
"1971419",103.802338,0,0,10.793487,0,0,0,0,0,0,0,0
"1974791",0.821195,0,0,0,0,0,0,0,0,0,0,0
"1976799",14.085943,2.066472,0,0,0,0,0,0,0,0,0,0
"1986277",5.582606,0,0.890383,0,0,0,0,0,0,0,0,0
"1989722",0.691451,0,1.023819,0,0,0,0,0,0,0,0.877082,0
"2002349",28.851242,3.448321,0,0,0,0,0,0,0,0,0,0
"2017270",17.491774,0,0,0,0,0,0,0,0,0,0,0
"2023761",12.921801,0,0,0,0,0,0,0,0,0,0,0
